node_id,node_type,name,scenario
B_AT1018,Building,數學館,Carbon_SIDCM
B_AT1019,Building,新數學研究中心,Carbon_SIDCM
B_AT1020,Building,-新生大樓-,Carbon_SIDCM
B_AN1022,Building,生化所,Carbon_SIDCM
B_AT1023,Building,電機一館,Carbon_SIDCM
B_AT1040,Building,化學館,Carbon_SIDCM
B_AT1040(1),Building,貴儀中心氦液化機用電,Carbon_SIDCM
B_AT1040(2),Building,化學館(不含貴儀中心氦液化機用電),Carbon_SIDCM
B_AT1042,Building,積學館,Carbon_SIDCM
B_AT1044,Building,博雅館,Carbon_SIDCM
B_AT1017,Building,思亮館,Carbon_SIDCM
B_AN1024,Building,-原分所-,Carbon_SIDCM
B_AT1038(1),Building,物理學系/凝態中心停車場,Carbon_SIDCM
B_AT1038(2),Building,凝態物理科學館,Carbon_SIDCM
B_AT1033,Building,心理南研究大樓,Carbon_SIDCM
B_AT1027(1),Building,女八九舍(含女九餐廳),Carbon_SIDCM
B_AT1034,Building,心理系北館,Carbon_SIDCM
B_AT1036,Building,應用力學研究大樓,Carbon_SIDCM
B_AT1037,Building,工學院綜合大樓,Carbon_SIDCM
B_AT2025,Building,研一女,Carbon_SIDCM
B_AT2026,Building,研一男,Carbon_SIDCM
B_AT5017,Building,男一舍,Carbon_SIDCM
B_AT5017-A,Building,男一舍外大餐廳,Carbon_SIDCM
B_AT5018,Building,男三舍,Carbon_SIDCM
B_AT5019,Building,男五舍,Carbon_SIDCM
B_AT5021,Building,男七舍,Carbon_SIDCM
B_AT5001,Building,男八舍,Carbon_SIDCM
B_AT5002,Building,男六舍,Carbon_SIDCM
B_AT2023,Building,大一女舍,Carbon_SIDCM
B_AT1004 ,Building,全球變遷中心,Carbon_SIDCM
B_AT1011,Building,海洋研究所,Carbon_SIDCM
B_AT1005,Building,游泳池,Carbon_SIDCM
B_AT1006,Building,舊體育館,Carbon_SIDCM
B_AT1009(1),Building,-闈場-,Carbon_SIDCM
