source_id,target_id,relationship_type,scenario
B_AT1018,EF_AT1018_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1018_2023-1,EM_AT1018_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1019,EF_AT1019_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1019_2023-1,EM_AT1019_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1020,EF_AT1020_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1020_2023-1,EM_AT1020_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AN1022,EF_AN1022_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AN1022_2023-1,EM_AN1022_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1023,EF_AT1023_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1023_2023-1,EM_AT1023_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1040,EF_AT1040_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1040_2023-1,EM_AT1040_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1040(1),EF_AT1040(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1040(1)_2023-1,EM_AT1040(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1040(2),EF_AT1040(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1040(2)_2023-1,EM_AT1040(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1042,EF_AT1042_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1042_2023-1,EM_AT1042_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1044,EF_AT1044_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1044_2023-1,EM_AT1044_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1017,EF_AT1017_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1017_2023-1,EM_AT1017_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AN1024,EF_AN1024_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AN1024_2023-1,EM_AN1024_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1038(1),EF_AT1038(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
