building_id,building_name,time_period,energy_consumption,energy_type,unit
AT1018,數學館,2023-1,8864.38,electricity,kWh
AT1019,新數學研究中心,2023-1,3809.5,electricity,kWh
AT1020,-新生大樓-,2023-1,15177.58,electricity,kWh
AN1022,生化所,2023-1,54504.62,electricity,kWh
AT1023,電機一館,2023-1,41341.92,electricity,kWh
AT1040,化學館,2023-1,274942.45,electricity,kWh
AT1040(1),貴儀中心氦液化機用電,2023-1,7685.95,electricity,kWh
AT1040(2),化學館(不含貴儀中心氦液化機用電),2023-1,267256.5,electricity,kWh
AT1042,積學館,2023-1,169170.53,electricity,kWh
AT1044,博雅館,2023-1,24620.33,electricity,kWh
AT1017,思亮館,2023-1,36777.32,electricity,kWh
AN1024,-原分所-,2023-1,232463.19,electricity,kWh
AT1038(1),物理學系/凝態中心停車場,2023-1,4973.75,electricity,kWh
AT1038(2),凝態物理科學館,2023-1,426748.6,electricity,kWh
AT1033,心理南研究大樓,2023-1,4524.59,electricity,kWh
AT1027(1),女八九舍(含女九餐廳),2023-1,25916.81,electricity,kWh
AT1034,心理系北館,2023-1,27448,electricity,kWh
AT1036,應用力學研究大樓,2023-1,80885.93,electricity,kWh
AT1037,工學院綜合大樓,2023-1,203371.5,electricity,kWh
AT2025,研一女,2023-1,13057.77,electricity,kWh
AT2026,研一男,2023-1,52939.17,electricity,kWh
AT5017,男一舍,2023-1,30408.47,electricity,kWh
AT5017-A,男一舍外大餐廳,2023-1,16131.09,electricity,kWh
AT5018,男三舍,2023-1,21802.88,electricity,kWh
AT5019,男五舍,2023-1,12239.12,electricity,kWh
AT5021,男七舍,2023-1,30253.64,electricity,kWh
AT5001,男八舍,2023-1,38185.03,electricity,kWh
AT5002,男六舍,2023-1,19298.85,electricity,kWh
AT2023,大一女舍,2023-1,50129.44,electricity,kWh
AT1004 ,全球變遷中心,2023-1,48990.88,electricity,kWh
AT1011,海洋研究所,2023-1,66188.62,electricity,kWh
AT1005,游泳池,2023-1,13934.81,electricity,kWh
AT1006,舊體育館,2023-1,9931.34,electricity,kWh
AT1009(1),-闈場-,2023-1,3689.67,electricity,kWh
AT1009(2),普通大樓,2023-1,8693.31,electricity,kWh
AT1015,小福樓,2023-1,27450.92,electricity,kWh
AT2007,化學工程館,2023-1,54951.81,electricity,kWh
AT2008,土木館,2023-1,18808.5,electricity,kWh
AT2006,文學院,2023-1,19658.81,electricity,kWh
AT1002-A,司令台,2023-1,803.66,electricity,kWh
AT2001,農業陳列館,2023-1,2417.7,electricity,kWh
AT2005(1),校史館,2023-1,1500.73,electricity,kWh
AT2005(2),人類學博物館,2023-1,46739.8,electricity,kWh
AT2005(3),舊總圖,2023-1,15412.63,electricity,kWh
AT2005-1,樂學館,2023-1,4885.34,electricity,kWh
AT1041(1),新南球場,2023-1,3349.9,electricity,kWh
AT1041(2),新月台,2023-1,---,electricity,kWh
AT1041(3),新南停車場,2023-1,---,electricity,kWh
AT1041(4),紅土網球場,2023-1,370.04,electricity,kWh
AT1041(8),新月台揚水及汙水泵用電,2023-1,367.82,electricity,kWh
AT2022,女五舍,2023-1,5354.56,electricity,kWh
AT2028,三號館,2023-1,41329.85,electricity,kWh
AT2028-A,-電子顯微鏡館-,2023-1,5145.27,electricity,kWh
AT2029,農化二館暨行政大樓,2023-1,21382.37,electricity,kWh
AT2030-B,性別平等教育委員會,2023-1,195.36,electricity,kWh
AT2030-D,物理系液氮機室,2023-1,56.2,electricity,kWh
AT4026,-推廣中心-,2023-1,12256.88,electricity,kWh
AT4026-4,-城鄉所-,2023-1,2081.23,electricity,kWh
AT2004-F,大門口警衛室,2023-1,1370.94,electricity,kWh
AT2015,一號館,2023-1,63118.3,electricity,kWh
AT2015(1),一號館1F(戲劇系),2023-1,3115.62,electricity,kWh
AT2015(2),一號館2F,2023-1,17464.56,electricity,kWh
AT2015(3),一號館3F,2023-1,42538.12,electricity,kWh
AT2015-A,動物標本館,2023-1,1082.61,electricity,kWh
AT2016,漁業陳列館,2023-1,70.48,electricity,kWh
AT2016-A,-漁業生物實驗室-,2023-1,0.24,electricity,kWh
AT2017,女一舍,2023-1,13781.63,electricity,kWh
AT2018,女三舍,2023-1,13366.62,electricity,kWh
AT2019,女二舍,2023-1,29034.08,electricity,kWh
AT2020,植物病毒研究室,2023-1,1411.4,electricity,kWh
AT2020-C,植物溫室,2023-1,2538.1,electricity,kWh
AT2021,植物標本館,2023-1,2911.93,electricity,kWh
2C_L1,椰林大道路燈前段,2023-1,2086.25,electricity,kWh
AT2018-A,雜工班,2023-1,1271.78,electricity,kWh
AT2027,二號館,2023-1,135802.36,electricity,kWh
AT2027(1),2號館1F,2023-1,4807.67,electricity,kWh
AT2027(2),2號館2F,2023-1,47546.74,electricity,kWh
AT2027(3),2號館3F,2023-1,47692.47,electricity,kWh
AT2030,農化系食品工廠,2023-1,4701.1,electricity,kWh
AT2031(1),化工光電晶體實驗室,2023-1,1296.35,electricity,kWh
AT2031(2),生醫材料(陶瓷)實驗室,2023-1,0,electricity,kWh
AT2031(3),綠色化學實驗室,2023-1,297.21,electricity,kWh
AT2031(4),職涯中心,2023-1,973.65,electricity,kWh
AT2031(5),學生心理輔導中心,2023-1,61.94,electricity,kWh
AT2031-A,望樂樓,2023-1,3881.69,electricity,kWh
AT2032-1(A),行政大樓教務處資訊室,2023-1,10390.8,electricity,kWh
AT2033(2),農化系實驗室,2023-1,17229.75,electricity,kWh
AT2034(2),夜間部大樓,2023-1,0,electricity,kWh
AT2034-B,保管組倉庫,2023-1,75.95,electricity,kWh
AT2034-C,小小福,2023-1,9754.01,electricity,kWh
AT2038-B,舟山路崗亭,2023-1,1784.53,electricity,kWh
AT2032,行政大樓前棟,2023-1,3229.94,electricity,kWh
AT2032-1,行政大樓後棟,2023-1,24939,electricity,kWh
AT2032-A,第一會議室,2023-1,1225.18,electricity,kWh
AT2035,四號館,2023-1,34450.12,electricity,kWh
AT2036,五號館,2023-1,11169.72,electricity,kWh
AT2037(1),農綜館,2023-1,15961.01,electricity,kWh
AT2037(2),植物工廠,2023-1,5574.87,electricity,kWh
AT2038,共同教室,2023-1,18540.43,electricity,kWh
AT2038-A,農產品中心,2023-1,4456.5,electricity,kWh
AT2040,生工系實驗室,2023-1,1299,electricity,kWh
AT2041,農化系土壤研究室,2023-1,4397.83,electricity,kWh
AT2042,森林館,2023-1,17322.81,electricity,kWh
AT2043,水工試驗所,2023-1,3508.25,electricity,kWh
AT2044-A,水工試驗所馬達房,2023-1,132.98,electricity,kWh
AT2045,保健中心,2023-1,3539.94,electricity,kWh
AT2046,林產館,2023-1,14289.34,electricity,kWh
AT2047,航空測量館,2023-1,2882.03,electricity,kWh
4B_L1,停車場路燈,2023-1,2035.09,electricity,kWh
AT4029,管理學院教學館,2023-1,19637.87,electricity,kWh
AT4029-A,原教堂(藝文中心),2023-1,2738.29,electricity,kWh
AT4029-B,多功能生活廳,2023-1,---,electricity,kWh
AT2044,水工大樓,2023-1,15292.84,electricity,kWh
AT2048,園藝系花卉館,2023-1,18648.5,electricity,kWh
AT3041,總圖書館,2023-1,243989.66,electricity,kWh
AT3001,資訊工程館,2023-1,161403.59,electricity,kWh
AT3002,-機械臨時工廠-,2023-1,3251.76,electricity,kWh
AT3003(1),電機二館,2023-1,340435.75,electricity,kWh
AT3003(2),聯合研究中心,2023-1,12754.71,electricity,kWh
AT3005,獸醫一館,2023-1,48759.83,electricity,kWh
AT3043,獸醫三館,2023-1,23654.18,electricity,kWh
AT1029,志鴻館,2023-1,---,electricity,kWh
