Source,Target,Relationship
IFC-300001,EVT-1001,MAPS_SENSOR_DATA
IFC-300002,EVT-1002,MAPS_SENSOR_DATA
IFC-300003,EVT-1003,MAPS_SENSOR_DATA
IFC-300001,EVT-1004,MAPS_SENSOR_DATA
IFC-300002,EVT-1005,MAPS_SENSOR_DATA
IFC-300003,EVT-1006,MAPS_SENSOR_DATA
IFC-300001,EVT-1007,MAPS_SENSOR_DATA
IFC-300002,EVT-1008,MAPS_SENSOR_DATA
IFC-300003,EVT-1009,MAPS_SENSOR_DATA
IFC-300001,EVT-1010,MAPS_SENSOR_DATA
IFC-300002,EVT-1011,MAPS_SENSOR_DATA
IFC-300003,EVT-1012,MAPS_SENSOR_DATA
IFC-300001,EVT-1013,MAPS_SENSOR_DATA
IFC-300002,EVT-1014,MAPS_SENSOR_DATA
IFC-300003,EVT-1015,MAPS_SENSOR_DATA
IFC-300001,EVT-1016,MAPS_SENSOR_DATA
IFC-300002,EVT-1017,MAPS_SENSOR_DATA
IFC-300003,EVT-1018,MAPS_SENSOR_DATA
IFC-300001,EVT-1019,MAPS_SENSOR_DATA
IFC-300002,EVT-1020,MAPS_SENSOR_DATA
IFC-300003,EVT-1021,MAPS_SENSOR_DATA
IFC-300001,EVT-1022,MAPS_SENSOR_DATA
IFC-300002,EVT-1023,MAPS_SENSOR_DATA
IFC-300003,EVT-1024,MAPS_SENSOR_DATA
IFC-300001,EVT-1025,MAPS_SENSOR_DATA
IFC-300002,EVT-1026,MAPS_SENSOR_DATA
IFC-300003,EVT-1027,MAPS_SENSOR_DATA
IFC-300001,EVT-1028,MAPS_SENSOR_DATA
IFC-300002,EVT-1029,MAPS_SENSOR_DATA
IFC-300003,EVT-1030,MAPS_SENSOR_DATA
IFC-300001,EVT-1031,MAPS_SENSOR_DATA
IFC-300002,EVT-1032,MAPS_SENSOR_DATA
IFC-300003,EVT-1033,MAPS_SENSOR_DATA
IFC-300001,EVT-1034,MAPS_SENSOR_DATA
IFC-300002,EVT-1035,MAPS_SENSOR_DATA
IFC-300003,EVT-1036,MAPS_SENSOR_DATA
IFC-300001,EVT-1037,MAPS_SENSOR_DATA
IFC-300002,EVT-1038,MAPS_SENSOR_DATA
IFC-300003,EVT-1039,MAPS_SENSOR_DATA
IFC-300001,EVT-1040,MAPS_SENSOR_DATA
IFC-300002,EVT-1041,MAPS_SENSOR_DATA
IFC-300003,EVT-1042,MAPS_SENSOR_DATA
IFC-300001,EVT-1043,MAPS_SENSOR_DATA
IFC-300002,EVT-1044,MAPS_SENSOR_DATA
IFC-300003,EVT-1045,MAPS_SENSOR_DATA
IFC-300001,EVT-1046,MAPS_SENSOR_DATA
IFC-300002,EVT-1047,MAPS_SENSOR_DATA
IFC-300003,EVT-1048,MAPS_SENSOR_DATA
IFC-300001,EVT-1049,MAPS_SENSOR_DATA
IFC-300002,EVT-1050,MAPS_SENSOR_DATA
IFC-300003,EVT-1051,MAPS_SENSOR_DATA
IFC-300001,EVT-1052,MAPS_SENSOR_DATA
IFC-300002,EVT-1053,MAPS_SENSOR_DATA
IFC-300003,EVT-1054,MAPS_SENSOR_DATA
IFC-300001,EVT-1055,MAPS_SENSOR_DATA
IFC-300002,EVT-1056,MAPS_SENSOR_DATA
IFC-300003,EVT-1057,MAPS_SENSOR_DATA
IFC-300001,EVT-1058,MAPS_SENSOR_DATA
IFC-300002,EVT-1059,MAPS_SENSOR_DATA
IFC-300003,EVT-1060,MAPS_SENSOR_DATA
IFC-300001,EVT-1061,MAPS_SENSOR_DATA
IFC-300002,EVT-1062,MAPS_SENSOR_DATA
IFC-300003,EVT-1063,MAPS_SENSOR_DATA
IFC-300001,EVT-1064,MAPS_SENSOR_DATA
IFC-300002,EVT-1065,MAPS_SENSOR_DATA
IFC-300003,EVT-1066,MAPS_SENSOR_DATA
IFC-300001,EVT-1067,MAPS_SENSOR_DATA
IFC-300002,EVT-1068,MAPS_SENSOR_DATA
IFC-300003,EVT-1069,MAPS_SENSOR_DATA
IFC-300001,EVT-1070,MAPS_SENSOR_DATA
IFC-300002,EVT-1071,MAPS_SENSOR_DATA
IFC-300003,EVT-1072,MAPS_SENSOR_DATA
IFC-300001,EVT-1073,MAPS_SENSOR_DATA
IFC-300002,EVT-1074,MAPS_SENSOR_DATA
IFC-300003,EVT-1075,MAPS_SENSOR_DATA
IFC-300001,EVT-1076,MAPS_SENSOR_DATA
IFC-300002,EVT-1077,MAPS_SENSOR_DATA
IFC-300003,EVT-1078,MAPS_SENSOR_DATA
IFC-300001,EVT-1079,MAPS_SENSOR_DATA
IFC-300002,EVT-1080,MAPS_SENSOR_DATA
IFC-300003,EVT-1081,MAPS_SENSOR_DATA
IFC-300001,EVT-1082,MAPS_SENSOR_DATA
IFC-300002,EVT-1083,MAPS_SENSOR_DATA
IFC-300003,EVT-1084,MAPS_SENSOR_DATA
IFC-300001,EVT-1085,MAPS_SENSOR_DATA
IFC-300002,EVT-1086,MAPS_SENSOR_DATA
IFC-300003,EVT-1087,MAPS_SENSOR_DATA
IFC-300001,EVT-1088,MAPS_SENSOR_DATA
IFC-300002,EVT-1089,MAPS_SENSOR_DATA
IFC-300003,EVT-1090,MAPS_SENSOR_DATA
IFC-300001,EVT-1091,MAPS_SENSOR_DATA
IFC-300002,EVT-1092,MAPS_SENSOR_DATA
IFC-300003,EVT-1093,MAPS_SENSOR_DATA
IFC-300001,EVT-1094,MAPS_SENSOR_DATA
IFC-300002,EVT-1095,MAPS_SENSOR_DATA
IFC-300003,EVT-1096,MAPS_SENSOR_DATA
IFC-300001,EVT-1097,MAPS_SENSOR_DATA
IFC-300002,EVT-1098,MAPS_SENSOR_DATA
IFC-300003,EVT-1099,MAPS_SENSOR_DATA
IFC-300001,EVT-1100,MAPS_SENSOR_DATA
IFC-300002,EVT-1101,MAPS_SENSOR_DATA
IFC-300003,EVT-1102,MAPS_SENSOR_DATA
IFC-300001,EVT-1103,MAPS_SENSOR_DATA
IFC-300002,EVT-1104,MAPS_SENSOR_DATA
IFC-300003,EVT-1105,MAPS_SENSOR_DATA
IFC-300001,EVT-1106,MAPS_SENSOR_DATA
IFC-300002,EVT-1107,MAPS_SENSOR_DATA
IFC-300003,EVT-1108,MAPS_SENSOR_DATA
IFC-300001,EVT-1109,MAPS_SENSOR_DATA
IFC-300002,EVT-1110,MAPS_SENSOR_DATA
IFC-300003,EVT-1111,MAPS_SENSOR_DATA
IFC-300001,EVT-1112,MAPS_SENSOR_DATA
IFC-300002,EVT-1113,MAPS_SENSOR_DATA
IFC-300003,EVT-1114,MAPS_SENSOR_DATA
IFC-300001,EVT-1115,MAPS_SENSOR_DATA
IFC-300002,EVT-1116,MAPS_SENSOR_DATA
IFC-300003,EVT-1117,MAPS_SENSOR_DATA
IFC-300001,EVT-1118,MAPS_SENSOR_DATA
IFC-300002,EVT-1119,MAPS_SENSOR_DATA
IFC-300003,EVT-1120,MAPS_SENSOR_DATA
IFC-300001,EVT-1121,MAPS_SENSOR_DATA
IFC-300002,EVT-1122,MAPS_SENSOR_DATA
IFC-300003,EVT-1123,MAPS_SENSOR_DATA
IFC-300001,EVT-1124,MAPS_SENSOR_DATA
IFC-300002,EVT-1125,MAPS_SENSOR_DATA
